0.0000	0.2420	1.0000	0.3897
0.5000	0.2420	1.0000	0.3897
1.0000	0.2420	1.0000	0.3897
1.5000	0.2420	1.0000	0.3897
2.0000	0.2420	1.0000	0.3897
2.5000	0.2420	1.0000	0.3897
3.0000	0.2433	1.0000	0.3914
3.5000	0.2433	1.0000	0.3914
4.0000	0.2443	1.0000	0.3927
4.5000	0.2482	1.0000	0.3976
5.0000	0.2513	1.0000	0.4017
5.5000	0.2542	1.0000	0.4053
6.0000	0.2573	1.0000	0.4093
6.5000	0.2613	1.0000	0.4144
7.0000	0.2607	0.9900	0.4127
7.5000	0.2620	0.9867	0.4141
8.0000	0.2590	0.9667	0.4085
8.5000	0.2657	0.9667	0.4168
9.0000	0.2700	0.9667	0.4221
9.5000	0.2752	0.9567	0.4274
10.0000	0.2857	0.9567	0.4400
10.5000	0.3015	0.9567	0.4585
11.0000	0.3108	0.9467	0.4680
11.5000	0.3282	0.9267	0.4847
12.0000	0.3613	0.9100	0.5173
12.5000	0.3660	0.8900	0.5187
13.0000	0.3727	0.8800	0.5236
13.5000	0.3885	0.8600	0.5352
14.0000	0.3932	0.8342	0.5344
14.5000	0.4135	0.8192	0.5496
15.0000	0.4172	0.8092	0.5505
15.5000	0.4357	0.7958	0.5631
16.0000	0.4458	0.7758	0.5663
16.5000	0.4558	0.7558	0.5687
17.0000	0.4767	0.7358	0.5786
17.5000	0.5055	0.7358	0.5993
18.0000	0.5388	0.7258	0.6185
18.5000	0.5563	0.7125	0.6248
19.0000	0.5693	0.7025	0.6289
19.5000	0.5830	0.7025	0.6372
20.0000	0.5942	0.6875	0.6374
20.5000	0.6023	0.6575	0.6287
21.0000	0.6212	0.6325	0.6268
21.5000	0.6462	0.6025	0.6236
22.0000	0.6962	0.5775	0.6313
22.5000	0.7203	0.4642	0.5645
23.0000	0.7537	0.4392	0.5550
23.5000	0.7703	0.4142	0.5387
24.0000	0.7917	0.3642	0.4989
24.5000	0.8533	0.3517	0.4981
25.0000	0.8783	0.3317	0.4815
25.5000	0.8983	0.3100	0.4609
26.0000	0.9000	0.2750	0.4213
26.5000	0.9133	0.1800	0.3007
27.0000	0.9117	0.1400	0.2427
27.5000	0.9350	0.1000	0.1807
28.0000	0.9550	0.1000	0.1810
28.5000	0.9400	0.0600	0.1128
29.0000	0.9450	0.0500	0.0950
29.5000	0.9350	0.0300	0.0581
